INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: 5, Priority: 5, Deadline: 5
INFO:root:Task Added: get chef, Priority: 2, Deadline: 2025-02-13
INFO:root:Task Added: dfb, Priority: 5, Deadline: 2025-02-12
INFO:root:Task Added: mkm, Priority: 2, Deadline: 2025-02-11
